trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,fastml,auto,instancehardness,0.125,0.7653386691376887,COMPLETE,2025-03-29 15:54:51.909878,2025-03-29 15:55:05.637851,13.727973
2,gaussiancopula,2,random,0.25,0.8162475007892245,COMPLETE,2025-03-29 15:55:05.654901,2025-03-29 15:55:18.222637,12.567736
3,ctgan,1,onesidedselection,auto,0.8277893045653577,COMPLETE,2025-03-29 15:55:18.246870,2025-03-29 15:55:44.662706,26.415836
4,copulagan,0.5,tomeklinks,0,0.7694685439375929,COMPLETE,2025-03-29 15:55:44.688773,2025-03-29 15:56:11.054789,26.366016
5,copulagan,0.5,clustercentroid,0,0.7694685439375929,COMPLETE,2025-03-29 15:56:11.068028,2025-03-29 15:56:21.388495,10.320467
6,smote,0.5,clustercentroid,0.5,0.8176119647856219,COMPLETE,2025-03-29 15:56:21.402267,2025-03-29 15:56:32.510690,11.108423
7,adasyn,2,onesidedselection,0.0625,-1.0,COMPLETE,2025-03-29 15:56:32.526182,2025-03-29 15:56:32.575742,0.04956
8,adasyn,auto,random,0.125,-1.0,COMPLETE,2025-03-29 15:56:32.588618,2025-03-29 15:56:32.634126,0.045508
9,smote,0.25,condensednn,0.0625,0.7754168660676761,COMPLETE,2025-03-29 15:56:32.647140,2025-03-29 15:56:41.122394,8.475254
10,copulagan,1,instancehardness,0.0625,0.7109619862773654,COMPLETE,2025-03-29 15:56:41.137245,2025-03-29 15:56:53.839718,12.702473
11,gaussiancopula,0.5,nearmiss,0.0625,0.8177270480384667,COMPLETE,2025-03-29 15:56:53.853967,2025-03-29 15:57:05.265305,11.411338
12,ctgan,0,random,auto,0.7113235120907087,COMPLETE,2025-03-29 15:57:05.278825,2025-03-29 15:57:14.837313,9.558488
13,gaussiancopula,0,editednn,0.25,0.6570439510152107,COMPLETE,2025-03-29 15:57:14.850439,2025-03-29 15:57:21.367783,6.517344
14,gaussiancopula,0.5,condensednn,0.0625,0.718110189461217,COMPLETE,2025-03-29 15:57:21.391250,2025-03-29 15:57:29.624120,8.23287
15,smote,2,random,0.25,0.7725855759746558,COMPLETE,2025-03-29 15:57:29.637338,2025-03-29 15:57:40.555369,10.918031
16,smote,2,editednn,0.25,0.6971297649494581,COMPLETE,2025-03-29 15:57:40.567709,2025-03-29 15:57:47.208823,6.641114
17,tvae,1,clustercentroid,auto,0.7731140780966501,COMPLETE,2025-03-29 15:57:47.221858,2025-03-29 15:58:05.713874,18.492016
18,gaussiancopula,auto,instancehardness,auto,0.7779200348215397,COMPLETE,2025-03-29 15:58:05.726992,2025-03-29 15:58:16.508781,10.781789
19,gaussiancopula,auto,instancehardness,0.125,0.7779200348215397,COMPLETE,2025-03-29 15:58:16.521261,2025-03-29 15:58:26.962524,10.441263
20,tvae,0.5,onesidedselection,0.0625,0.8099656204534335,COMPLETE,2025-03-29 15:58:26.975704,2025-03-29 15:58:36.693825,9.718121
21,random,1,clustercentroid,0.25,0.8252368888666506,COMPLETE,2025-03-29 15:58:36.716750,2025-03-29 15:58:49.007091,12.290341
22,fastml,1,clustercentroid,0.25,0.8101183341922502,COMPLETE,2025-03-29 15:58:49.020787,2025-03-29 15:59:01.049242,12.028455
23,ctgan,auto,clustercentroid,0.5,0.817772055470615,COMPLETE,2025-03-29 15:59:01.063714,2025-03-29 15:59:14.315749,13.252035
24,tvae,auto,onesidedselection,0.5,0.8099656204534335,COMPLETE,2025-03-29 15:59:14.344783,2025-03-29 15:59:23.856323,9.51154
25,gaussiancopula,auto,onesidedselection,0.125,0.8402321388325446,COMPLETE,2025-03-29 15:59:23.871312,2025-03-29 15:59:32.855142,8.98383
26,tvae,0.25,instancehardness,auto,0.7854833841430398,COMPLETE,2025-03-29 15:59:32.868370,2025-03-29 15:59:45.019773,12.151403
27,ctgan,auto,clustercentroid,0.0625,0.817772055470615,COMPLETE,2025-03-29 15:59:45.043074,2025-03-29 15:59:58.172287,13.129213
28,random,0.5,tomeklinks,0.25,0.7885046901945817,COMPLETE,2025-03-29 15:59:58.196221,2025-03-29 16:00:07.522248,9.326027
29,copulagan,1,clustercentroid,auto,0.8031625042974624,COMPLETE,2025-03-29 16:00:07.536764,2025-03-29 16:00:18.633054,11.09629
30,smote,0,editednn,auto,0.6570439510152107,COMPLETE,2025-03-29 16:00:18.647429,2025-03-29 16:00:25.113471,6.466042
31,fastml,0,condensednn,0.25,0.6046872437128007,COMPLETE,2025-03-29 16:00:25.129110,2025-03-29 16:00:31.485102,6.355992
32,smote,1,tomeklinks,0,0.8031668039219165,COMPLETE,2025-03-29 16:00:31.501496,2025-03-29 16:00:41.207725,9.706229
33,smote,auto,nearmiss,0.25,0.7842776712680902,COMPLETE,2025-03-29 16:00:41.222911,2025-03-29 16:00:52.864612,11.641701
34,adasyn,0.5,clustercentroid,0.0625,-1.0,COMPLETE,2025-03-29 16:00:52.877196,2025-03-29 16:00:52.921917,0.044721
35,smote,2,clustercentroid,0.125,0.8176119647856219,COMPLETE,2025-03-29 16:00:52.934515,2025-03-29 16:01:03.170609,10.236094
36,gaussiancopula,1,condensednn,0.25,0.718110189461217,COMPLETE,2025-03-29 16:01:03.182710,2025-03-29 16:01:11.371927,8.189217
37,random,0,onesidedselection,auto,0.8145856661046565,COMPLETE,2025-03-29 16:01:11.384608,2025-03-29 16:01:19.608085,8.223477
38,gaussiancopula,auto,instancehardness,0.0625,0.7779200348215397,COMPLETE,2025-03-29 16:01:19.622235,2025-03-29 16:01:29.894453,10.272218
39,random,auto,onesidedselection,0.0625,0.7997081741787624,COMPLETE,2025-03-29 16:01:29.907133,2025-03-29 16:01:38.995317,9.088184
40,tvae,auto,editednn,0,0.7729649486430071,COMPLETE,2025-03-29 16:01:39.008826,2025-03-29 16:01:48.990660,9.981834
41,ctgan,auto,onesidedselection,0.5,0.8277893045653577,COMPLETE,2025-03-29 16:01:49.003606,2025-03-29 16:01:58.290422,9.286816
42,fastml,0,condensednn,0.125,0.6046872437128007,COMPLETE,2025-03-29 16:01:58.313173,2025-03-29 16:02:04.702793,6.38962
43,tvae,2,nearmiss,0.125,0.8535353923282728,COMPLETE,2025-03-29 16:02:04.714955,2025-03-29 16:02:15.562523,10.847568
44,tvae,0.5,condensednn,0.0625,0.7537101641234796,COMPLETE,2025-03-29 16:02:15.575443,2025-03-29 16:02:24.014022,8.438579
45,ctgan,0,instancehardness,0.25,0.816446228697218,COMPLETE,2025-03-29 16:02:24.026956,2025-03-29 16:02:34.991120,10.964164
46,adasyn,0,instancehardness,0.5,0.816446228697218,COMPLETE,2025-03-29 16:02:35.016307,2025-03-29 16:02:46.182511,11.166204
47,gaussiancopula,auto,condensednn,0.125,0.718110189461217,COMPLETE,2025-03-29 16:02:46.206250,2025-03-29 16:02:54.527569,8.321319
48,gaussiancopula,0.5,tomeklinks,0.125,0.7388116091110345,COMPLETE,2025-03-29 16:02:54.540125,2025-03-29 16:03:03.028548,8.488423
49,copulagan,2,random,0.0625,0.790953418553617,COMPLETE,2025-03-29 16:03:03.041816,2025-03-29 16:03:14.125615,11.083799
50,fastml,0,nearmiss,auto,0.8261824381926683,COMPLETE,2025-03-29 16:03:14.138678,2025-03-29 16:03:22.814821,8.676143
51,gaussiancopula,0,tomeklinks,0,-1.0,ERROR,,,0.0
52,fastml,0,onesidedselection,0.5,0.8145856661046565,COMPLETE,2025-03-29 16:03:33.096869,2025-03-29 16:03:41.291764,8.194895
53,copulagan,0.5,editednn,0.0625,0.7193117069444186,COMPLETE,2025-03-29 16:03:41.305560,2025-03-29 16:03:48.853539,7.547979
54,tvae,0,random,0.0625,0.7113235120907087,COMPLETE,2025-03-29 16:03:48.867430,2025-03-29 16:03:58.397092,9.529662
55,ctgan,2,nearmiss,0.5,0.7994233065016635,COMPLETE,2025-03-29 16:03:58.410076,2025-03-29 16:04:08.226624,9.816548
56,adasyn,0,tomeklinks,0.5,0.8106420236121931,COMPLETE,2025-03-29 16:04:08.241815,2025-03-29 16:04:16.040501,7.798686
57,random,0,condensednn,auto,0.6046872437128007,COMPLETE,2025-03-29 16:04:16.053169,2025-03-29 16:04:22.290313,6.237144
58,copulagan,auto,condensednn,0.5,0.7106211998941325,COMPLETE,2025-03-29 16:04:22.303293,2025-03-29 16:04:30.895078,8.591785
59,random,auto,condensednn,auto,0.764847388838482,COMPLETE,2025-03-29 16:04:30.907600,2025-03-29 16:04:38.720022,7.812422
60,copulagan,2,nearmiss,0.25,0.7577816279768611,COMPLETE,2025-03-29 16:04:38.743210,2025-03-29 16:04:49.197219,10.454009
61,copulagan,1,editednn,auto,0.7193117069444186,COMPLETE,2025-03-29 16:04:49.221029,2025-03-29 16:04:56.905461,7.684432
62,copulagan,0,nearmiss,0.5,0.8261824381926683,COMPLETE,2025-03-29 16:04:56.919097,2025-03-29 16:05:05.523857,8.60476
63,ctgan,0.5,onesidedselection,0,0.8302957919410648,COMPLETE,2025-03-29 16:05:05.537217,2025-03-29 16:05:15.466297,9.92908
64,tvae,0.25,nearmiss,auto,0.8535353923282728,COMPLETE,2025-03-29 16:05:15.480500,2025-03-29 16:05:26.335896,10.855396
65,fastml,0.5,editednn,0,0.7655436586619666,COMPLETE,2025-03-29 16:05:26.352107,2025-03-29 16:05:36.468524,10.116417
66,gaussiancopula,2,clustercentroid,0.0625,0.8130003938195579,COMPLETE,2025-03-29 16:05:36.482255,2025-03-29 16:05:48.790336,12.308081
67,gaussiancopula,1,random,0.5,0.8162475007892245,COMPLETE,2025-03-29 16:05:48.803557,2025-03-29 16:05:59.611805,10.808248
68,tvae,2,tomeklinks,auto,0.7290738343974288,COMPLETE,2025-03-29 16:05:59.624606,2025-03-29 16:06:09.017350,9.392744
69,random,auto,clustercentroid,0.0625,0.8252368888666506,COMPLETE,2025-03-29 16:06:09.039630,2025-03-29 16:06:20.896975,11.857345
70,ctgan,2,nearmiss,0.25,0.7994233065016635,COMPLETE,2025-03-29 16:06:20.911484,2025-03-29 16:06:30.847061,9.935577
71,random,1,onesidedselection,0,0.8501211295328943,COMPLETE,2025-03-29 16:06:30.864789,2025-03-29 16:06:40.629884,9.765095
72,gaussiancopula,2,onesidedselection,0,0.8061522907211869,COMPLETE,2025-03-29 16:06:40.643837,2025-03-29 16:06:50.628323,9.984486
73,gaussiancopula,0.25,nearmiss,0.0625,0.8177270480384667,COMPLETE,2025-03-29 16:06:50.641164,2025-03-29 16:07:01.945536,11.304372
74,random,1,random,0.25,0.786526759244812,COMPLETE,2025-03-29 16:07:01.957749,2025-03-29 16:07:12.071660,10.113911
75,fastml,1,onesidedselection,0.25,0.8129974458686009,COMPLETE,2025-03-29 16:07:12.083591,2025-03-29 16:07:20.764951,8.68136
76,smote,0.25,clustercentroid,0,0.8031668039219165,COMPLETE,2025-03-29 16:07:20.788329,2025-03-29 16:07:30.691949,9.90362
77,random,0.5,onesidedselection,auto,0.7997081741787624,COMPLETE,2025-03-29 16:07:30.716332,2025-03-29 16:07:40.286608,9.570276
78,gaussiancopula,0,clustercentroid,0.5,0.7713935923059568,COMPLETE,2025-03-29 16:07:40.299889,2025-03-29 16:07:49.569948,9.270059
79,fastml,0,clustercentroid,0,-1.0,ERROR,,,0.0
80,tvae,0.5,tomeklinks,0.5,0.7290738343974288,COMPLETE,2025-03-29 16:07:59.792477,2025-03-29 16:08:09.062081,9.269604
81,copulagan,0.5,condensednn,0.125,0.7106211998941325,COMPLETE,2025-03-29 16:08:09.084214,2025-03-29 16:08:17.540082,8.455868
82,tvae,0.5,nearmiss,0.125,0.8535353923282728,COMPLETE,2025-03-29 16:08:17.552251,2025-03-29 16:08:27.936526,10.384275
83,fastml,auto,condensednn,0,0.7655436586619666,COMPLETE,2025-03-29 16:08:27.949880,2025-03-29 16:08:37.712726,9.762846
84,ctgan,0.5,random,0.0625,0.7598153069181577,COMPLETE,2025-03-29 16:08:37.725507,2025-03-29 16:08:48.812509,11.087002
85,fastml,0.25,clustercentroid,0,0.7655436586619666,COMPLETE,2025-03-29 16:08:48.830252,2025-03-29 16:08:58.820800,9.990548
86,adasyn,0.5,random,0.5,-1.0,COMPLETE,2025-03-29 16:08:58.833731,2025-03-29 16:08:58.878741,0.04501
87,smote,0.5,editednn,0,0.8031668039219165,COMPLETE,2025-03-29 16:08:58.894838,2025-03-29 16:09:08.595871,9.701033
88,random,0.5,condensednn,0.25,0.764847388838482,COMPLETE,2025-03-29 16:09:08.618297,2025-03-29 16:09:16.225101,7.606804
89,adasyn,2,editednn,0.25,-1.0,COMPLETE,2025-03-29 16:09:16.246709,2025-03-29 16:09:16.288895,0.042186
90,adasyn,0.25,condensednn,0.5,-1.0,COMPLETE,2025-03-29 16:09:16.300029,2025-03-29 16:09:16.343670,0.043641
91,fastml,auto,clustercentroid,0.125,0.8051711830799735,COMPLETE,2025-03-29 16:09:16.354770,2025-03-29 16:09:28.295982,11.941212
92,copulagan,auto,clustercentroid,0.25,0.8031625042974624,COMPLETE,2025-03-29 16:09:28.308501,2025-03-29 16:09:39.763606,11.455105
93,fastml,2,random,0.125,0.7832957688664595,COMPLETE,2025-03-29 16:09:39.776370,2025-03-29 16:09:50.183819,10.407449
94,gaussiancopula,0,editednn,0.0625,0.6570439510152107,COMPLETE,2025-03-29 16:09:50.195533,2025-03-29 16:09:56.506724,6.311191
95,copulagan,2,onesidedselection,auto,0.8118367096054723,COMPLETE,2025-03-29 16:09:56.529570,2025-03-29 16:10:06.243816,9.714246
96,random,0.25,random,auto,0.786526759244812,COMPLETE,2025-03-29 16:10:06.260945,2025-03-29 16:10:15.894438,9.633493
97,gaussiancopula,0,random,0.25,0.7113235120907087,COMPLETE,2025-03-29 16:10:15.909299,2025-03-29 16:10:25.177873,9.268574
98,adasyn,0.5,editednn,auto,-1.0,COMPLETE,2025-03-29 16:10:25.193693,2025-03-29 16:10:25.262071,0.068378
99,copulagan,2,tomeklinks,0,0.7694685439375929,COMPLETE,2025-03-29 16:10:25.276650,2025-03-29 16:10:35.090843,9.814193
100,gaussiancopula,0.5,random,0.25,0.8162475007892245,COMPLETE,2025-03-29 16:10:35.103694,2025-03-29 16:10:46.197469,11.093775
101,random,0.5,nearmiss,0,0.8501211295328943,COMPLETE,2025-03-29 16:10:46.218700,2025-03-29 16:10:55.691116,9.472416
102,ctgan,0.5,nearmiss,0,0.8302957919410648,COMPLETE,2025-03-29 16:10:55.703414,2025-03-29 16:11:05.685477,9.982063
103,tvae,1,tomeklinks,0.25,0.7290738343974288,COMPLETE,2025-03-29 16:11:05.697934,2025-03-29 16:11:14.870492,9.172558
104,random,auto,random,0.5,0.786526759244812,COMPLETE,2025-03-29 16:11:14.892824,2025-03-29 16:11:24.715071,9.822247
105,fastml,2,condensednn,0.0625,0.7354233403685049,COMPLETE,2025-03-29 16:11:24.729017,2025-03-29 16:11:32.225308,7.496291
106,fastml,0.25,editednn,0.0625,0.6027242045716767,COMPLETE,2025-03-29 16:11:32.238966,2025-03-29 16:11:40.069269,7.830303
107,fastml,0.25,clustercentroid,0.0625,0.8051711830799735,COMPLETE,2025-03-29 16:11:40.091056,2025-03-29 16:11:52.558619,12.467563
108,gaussiancopula,auto,instancehardness,0,0.8061522907211869,COMPLETE,2025-03-29 16:11:52.570632,2025-03-29 16:12:02.480577,9.909945
109,adasyn,0,condensednn,auto,0.6046872437128007,COMPLETE,2025-03-29 16:12:02.493329,2025-03-29 16:12:08.436255,5.942926
110,gaussiancopula,1,random,0.125,0.8162475007892245,COMPLETE,2025-03-29 16:12:08.448091,2025-03-29 16:12:19.016006,10.567915
111,adasyn,0.25,onesidedselection,0.25,-1.0,COMPLETE,2025-03-29 16:12:19.037227,2025-03-29 16:12:19.082016,0.044789
112,adasyn,0.25,condensednn,0,-1.0,COMPLETE,2025-03-29 16:12:19.093275,2025-03-29 16:12:19.137078,0.043803
113,copulagan,2,random,0.5,0.790953418553617,COMPLETE,2025-03-29 16:12:19.148896,2025-03-29 16:12:29.998013,10.849117
114,ctgan,0.5,nearmiss,0.0625,0.7994233065016635,COMPLETE,2025-03-29 16:12:30.011025,2025-03-29 16:12:39.749781,9.738756
115,tvae,1,condensednn,0.125,0.7537101641234796,COMPLETE,2025-03-29 16:12:39.761994,2025-03-29 16:12:47.955904,8.19391
116,tvae,0.5,nearmiss,0.25,0.8535353923282728,COMPLETE,2025-03-29 16:12:47.968263,2025-03-29 16:12:58.781058,10.812795
117,fastml,0,onesidedselection,0,-1.0,ERROR,,,0.0
118,fastml,0,nearmiss,0,-1.0,ERROR,,,0.0
119,adasyn,1,condensednn,0.125,-1.0,COMPLETE,2025-03-29 16:13:19.490349,2025-03-29 16:13:19.541646,0.051297
120,smote,0.5,nearmiss,0.0625,0.7842776712680902,COMPLETE,2025-03-29 16:13:19.553919,2025-03-29 16:13:30.816289,11.26237
121,fastml,2,instancehardness,auto,0.7653386691376887,COMPLETE,2025-03-29 16:13:30.829821,2025-03-29 16:13:41.690927,10.861106
122,copulagan,1,random,0,0.7694685439375929,COMPLETE,2025-03-29 16:13:41.704450,2025-03-29 16:13:51.293136,9.588686
123,random,auto,random,0.125,0.786526759244812,COMPLETE,2025-03-29 16:13:51.305435,2025-03-29 16:14:01.072451,9.767016
124,adasyn,auto,nearmiss,auto,-1.0,COMPLETE,2025-03-29 16:14:01.085458,2025-03-29 16:14:01.133176,0.047718
125,adasyn,0.5,tomeklinks,0,-1.0,COMPLETE,2025-03-29 16:14:01.146381,2025-03-29 16:14:01.191864,0.045483
126,tvae,0.5,onesidedselection,0.5,0.8099656204534335,COMPLETE,2025-03-29 16:14:01.204057,2025-03-29 16:14:10.880812,9.676755
127,ctgan,2,onesidedselection,0.0625,0.8277893045653577,COMPLETE,2025-03-29 16:14:10.915573,2025-03-29 16:14:19.833096,8.917523
128,fastml,1,clustercentroid,0.5,0.8101183341922502,COMPLETE,2025-03-29 16:14:19.858749,2025-03-29 16:14:31.469066,11.610317
129,ctgan,0.25,clustercentroid,0.0625,0.817772055470615,COMPLETE,2025-03-29 16:14:31.481682,2025-03-29 16:14:44.152871,12.671189
130,copulagan,0,editednn,0.25,0.6570439510152107,COMPLETE,2025-03-29 16:14:44.179281,2025-03-29 16:14:50.368552,6.189271
131,smote,0,condensednn,0.125,0.6046872437128007,COMPLETE,2025-03-29 16:14:50.390741,2025-03-29 16:14:56.248728,5.857987
132,adasyn,0,onesidedselection,0.125,0.8145856661046565,COMPLETE,2025-03-29 16:14:56.268381,2025-03-29 16:15:04.128726,7.860345
133,copulagan,2,random,0,0.7694685439375929,COMPLETE,2025-03-29 16:15:04.142829,2025-03-29 16:15:13.393253,9.250424
134,copulagan,2,clustercentroid,0.5,0.8031625042974624,COMPLETE,2025-03-29 16:15:13.408769,2025-03-29 16:15:23.781747,10.372978
135,adasyn,2,condensednn,0.125,-1.0,COMPLETE,2025-03-29 16:15:23.796990,2025-03-29 16:15:23.859536,0.062546
