,Type,Dataset,F1_Baseline,F1_Min,F1_Max,F1_Mean,F1_Std,Δ_F1,Time_Baseline,Time_Min,Time_Max,Time_Mean,Time_Std,Δ_Time
0,Binary,31,0.787,0.788,0.802,0.79,0.003,0.015,10.0,6.16,8.94,7.84,0.55,-3.84
1,Binary,37,0.804,0.804,0.85,0.815,0.011,0.046,22.0,5.71,44.96,13.3,6.12,-16.29
2,Binary,44,0.966,0.966,0.982,0.969,0.003,0.016,80.0,17.04,676.47,121.76,163.39,-62.96
3,Binary,1462,1.0,1.0,1.0,1.0,0.0,0.0,11.0,6.3,10.99,9.43,0.99,-4.7
4,Binary,1479,0.926,0.93,0.934,0.933,0.002,0.008,17.0,20.06,181.36,43.49,23.17,3.06
5,Binary,1510,1.0,1.0,1.0,1.0,0.0,0.0,6.0,5.89,5.89,5.89,0.0,-0.11
6,Binary,40945,0.981,0.981,1.0,1.0,0.002,0.019,8.0,3.84,25.77,4.22,1.27,-4.16
7,Multiclass,23,0.615,0.615,0.647,0.625,0.008,0.032,17.0,11.43,308.67,37.72,55.0,-5.57
8,Multiclass,36,0.991,0.991,0.994,0.992,0.001,0.003,87.0,14.6,25.74,18.41,2.97,-72.4
9,Multiclass,54,0.85,0.85,0.854,0.851,0.002,0.004,17.0,9.18,12.0,10.38,0.68,-7.82
10,Multiclass,181,0.632,0.632,0.668,0.644,0.008,0.036,34.0,18.6,453.63,71.7,78.43,-15.4
11,Multiclass,1466,1.0,1.0,1.0,1.0,0.0,0.0,25.0,15.3,24.98,21.45,2.58,-9.7
12,Multiclass,40691,0.712,0.715,0.737,0.723,0.006,0.025,219.0,13.85,189.23,39.61,28.01,-205.15
13,Multiclass,40975,1.0,1.0,1.0,1.0,0.0,0.0,26.0,12.11,26.0,16.05,4.46,-13.89
14,Multilabel,285,,,,,,,,,,,,
15,Multilabel,41464,0.587,0.587,0.64,0.606,0.011,0.053,300.0,220.05,391.49,333.62,37.13,-79.95
16,Multilabel,41465,0.379,0.379,0.432,0.394,0.011,0.053,50.0,36.96,1143.32,171.99,165.3,-13.04
17,Multilabel,41468,0.516,0.516,0.532,0.527,0.006,0.016,82.0,64.04,639.47,356.51,159.92,-17.96
18,Multilabel,41470,0.738,0.738,0.745,0.742,0.003,0.007,141.0,61.31,1472.24,791.21,431.49,-79.69
19,Multilabel,41471,0.799,0.799,0.821,0.808,0.005,0.022,218.0,84.72,1975.53,288.37,315.15,-133.28
20,Multilabel,41473,0.229,0.231,0.232,0.231,0.001,0.003,393.0,304.43,337.22,320.82,16.39,-88.57
