group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
copulagan + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3817,medium
copulagan + nearmiss,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3199,small
random + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3885,medium
random + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.326,small
copulagan + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4163,medium
copulagan + nearmiss,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.356,medium
copulagan + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4733,medium
copulagan + nearmiss,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3333,medium
gaussiancopula + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3607,medium
gaussiancopula + clustercentroid,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3171,small
copulagan + onesidedselection,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4642,medium
random + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4298,medium
random + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2893,small
fastml + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3305,medium
copulagan + onesidedselection,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4652,medium
copulagan + onesidedselection,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3693,medium
copulagan + onesidedselection,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.449,medium
gaussiancopula + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4185,medium
copulagan + onesidedselection,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3644,medium
gaussiancopula + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.312,small
copulagan + nearmiss,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4598,medium
gaussiancopula + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.293,small
gaussiancopula + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4205,medium
adasyn + nearmiss,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4436,medium
gaussiancopula + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2983,small
gaussiancopula + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4531,medium
gaussiancopula + condensednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2981,small
gaussiancopula + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4247,medium
copulagan + nearmiss,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3831,medium
gaussiancopula + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.435,medium
gaussiancopula + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3863,medium
gaussiancopula + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3648,medium
random + onesidedselection,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3117,small
copulagan + nearmiss,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4689,medium
gaussiancopula + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3931,medium
copulagan + nearmiss,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4679,medium
copulagan + nearmiss,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.339,medium
gaussiancopula + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2851,small
gaussiancopula + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2956,small
copulagan + onesidedselection,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.388,medium
copulagan + onesidedselection,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4699,medium
