group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0.25 + 0,auto + 0.125,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1961,small
0.25 + 0,1 + auto,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1982,small
1 + 0,auto + 0.125,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1944,small
auto + 0,auto + 0.125,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1944,small
0.25 + 0,auto + 0.5,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1967,small
0.25 + 0,auto + auto,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1972,small
0.25 + 0,auto + 0.25,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1958,small
0.25 + 0,2 + auto,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1977,small
0.25 + 0,2 + 0.125,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1952,small
1 + 0,1 + auto,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1962,small
0.25 + 0,1 + 0.125,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1953,small
1 + auto,auto + 0,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1962,small
0.25 + 0,1 + 0.5,0.0015,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1974,small
auto + 0,auto + 0.5,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1953,small
2 + 0.125,auto + 0,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1939,small
1 + 0,1 + 0.5,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1957,small
1 + 0,1 + 0.125,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1935,small
1 + 0.5,auto + 0,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1957,small
1 + 0.125,auto + 0,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1935,small
auto + 0,auto + 0.25,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1944,small
1 + 0,auto + auto,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1957,small
1 + 0,2 + 0.125,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1939,small
auto + 0,auto + auto,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1957,small
1 + 0,2 + auto,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1958,small
1 + 0,auto + 0.25,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1944,small
2 + auto,auto + 0,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1958,small
0.25 + 0,1 + 0.25,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1945,small
1 + 0,auto + 0.5,0.0016,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1953,small
2 + 0,auto + 0.125,0.0017,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1926,small
0.25 + 0,2 + 0.5,0.0017,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1951,small
1 + 0,1 + 0.25,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1934,small
1 + 0.25,auto + 0,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1934,small
0.5 + 0,auto + 0.125,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.193,small
1 + auto,2 + 0,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1945,small
2 + 0.5,auto + 0,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1936,small
0.25 + 0,2 + 0.25,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1939,small
1 + 0,2 + 0.5,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1936,small
1 + 0,2 + 0.25,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1924,small
1 + 0.125,2 + 0,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1917,small
2 + 0,2 + 0.125,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1921,small
2 + 0,auto + auto,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1939,small
2 + 0,auto + 0.5,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1936,small
2 + 0,auto + 0.25,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1926,small
2 + 0,2 + auto,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1941,small
1 + 0.5,2 + 0,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1939,small
2 + 0.25,auto + 0,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1924,small
0.5 + 0,1 + auto,0.0019,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1958,small
0.5 + 0,auto + 0.25,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.193,small
0.5 + 0,1 + 0.125,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1922,small
0.5 + 0,1 + 0.5,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1951,small
0.5 + 0,auto + 0.5,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1948,small
0.5 + 0,2 + 0.125,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1928,small
0.5 + 0,auto + auto,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1952,small
0.5 + 0,2 + auto,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1953,small
1 + 0.25,2 + 0,0.0021,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1917,small
0.25 + 0,0.5 + 0.125,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1943,small
0.25 + 0,0.5 + auto,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1947,small
0.5 + 0,1 + 0.25,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1919,small
2 + 0,2 + 0.25,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1906,small
2 + 0,2 + 0.5,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1918,small
0.5 + 0.125,1 + 0,0.0023,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1906,small
0.5 + 0.125,auto + 0,0.0023,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1906,small
0.5 + 0,2 + 0.5,0.0023,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1929,small
0.5 + auto,auto + 0,0.0024,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1921,small
0.5 + auto,1 + 0,0.0024,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1921,small
0.25 + 0,0.5 + 0.25,0.0024,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1932,small
0.5 + 0,2 + 0.25,0.0024,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1907,small
0.25 + 0,0.5 + 0.5,0.0025,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1931,small
0.5 + 0.25,auto + 0,0.0026,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1911,small
0.5 + 0.25,1 + 0,0.0026,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1911,small
0.5 + 0.5,1 + 0,0.0027,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1907,small
0.5 + 0.5,auto + 0,0.0027,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1907,small
0.5 + 0.125,2 + 0,0.0029,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1888,small
0.5 + auto,2 + 0,0.0029,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1903,small
0.5 + 0,0.5 + 0.125,0.003,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1899,small
0.5 + 0,0.5 + auto,0.0031,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1899,small
0.5 + 0.25,2 + 0,0.0032,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1893,small
0.5 + 0.5,2 + 0,0.0033,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1889,small
0.5 + 0,0.5 + 0.25,0.0034,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1895,small
0.5 + 0,0.5 + 0.5,0.0035,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1886,small
0.25 + 0,1 + 0.0625,0.0042,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1845,small
1 + 0.0625,auto + 0,0.0045,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1805,small
0.25 + 0,auto + 0.0625,0.0045,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1829,small
1 + 0,1 + 0.0625,0.0045,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1805,small
0.25 + 0,2 + 0.0625,0.0046,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1828,small
1 + 0,auto + 0.0625,0.0049,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1796,small
auto + 0,auto + 0.0625,0.0049,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1796,small
1 + 0,2 + 0.0625,0.005,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1794,small
2 + 0.0625,auto + 0,0.005,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1794,small
1 + 0.0625,2 + 0,0.0055,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1787,small
0.5 + 0,1 + 0.0625,0.0059,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1793,small
2 + 0,auto + 0.0625,0.006,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1778,small
2 + 0,2 + 0.0625,0.0061,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1776,small
0.5 + 0,auto + 0.0625,0.0063,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1784,small
0.5 + 0,2 + 0.0625,0.0065,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1782,small
0.25 + 0,0.5 + 0.0625,0.0075,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1812,small
0.5 + 0.0625,1 + 0,0.0081,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1765,small
0.5 + 0.0625,auto + 0,0.0081,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1765,small
0.5 + 0.0625,2 + 0,0.0099,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1747,small
0.5 + 0,0.5 + 0.0625,0.0105,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1755,small
0.25 + 0,0.25 + 0.125,0.1083,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.1594,small
0.25 + 0.125,auto + 0,0.119,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1579,small
0.25 + 0.125,1 + 0,0.119,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1579,small
0.25 + 0,0.25 + 0.25,0.1405,False,Kruskal-Wallis + Dunn,Cliff's delta,-0.1575,small
0.25 + 0.125,2 + 0,0.1409,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1561,small
0.25 + 0.125,0.5 + 0,0.1488,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1542,small
0.25 + 0.25,auto + 0,0.1539,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1574,small
0.25 + 0.25,1 + 0,0.1539,False,Kruskal-Wallis + Dunn,Cliff's delta,0.1574,small
