group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3371,medium
ctgan + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3469,medium
ctgan + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2997,small
copulagan + condensednn,copulagan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3611,medium
ctgan + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3157,small
ctgan + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3139,small
smote + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2907,small
smote + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3155,small
ctgan + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3319,medium
ctgan + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3284,small
ctgan + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3368,medium
ctgan + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3286,small
ctgan + condensednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3172,small
ctgan + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3199,small
copulagan + condensednn,copulagan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3601,medium
copulagan + condensednn,copulagan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3398,medium
ctgan + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3482,medium
smote + editednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3549,medium
ctgan + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3552,medium
ctgan + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3797,medium
smote + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3876,medium
fastml + random,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.332,medium
ctgan + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3263,small
ctgan + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3305,medium
ctgan + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3029,small
copulagan + tomeklinks,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3448,medium
smote + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3217,small
smote + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3928,medium
copulagan + condensednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3498,medium
copulagan + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3613,medium
copulagan + tomeklinks,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3,small
gaussiancopula + clustercentroid,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2997,small
ctgan + clustercentroid,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3404,medium
fastml + tomeklinks,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3229,small
fastml + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3665,medium
copulagan + condensednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3493,medium
fastml + tomeklinks,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.341,medium
copulagan + condensednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3467,medium
random + clustercentroid,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3331,medium
fastml + tomeklinks,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2839,small
smote + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4104,medium
smote + clustercentroid,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3984,medium
ctgan + condensednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3186,small
ctgan + condensednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3142,small
ctgan + condensednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3167,small
ctgan + condensednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3475,medium
smote + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3651,medium
fastml + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.372,medium
ctgan + condensednn,smote + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.334,medium
ctgan + condensednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3538,medium
ctgan + editednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3409,medium
ctgan + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3726,medium
random + clustercentroid,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3244,small
ctgan + editednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3203,small
smote + instancehardness,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3278,small
ctgan + editednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3534,medium
ctgan + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3902,medium
ctgan + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3817,medium
ctgan + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4316,medium
ctgan + editednn,smote + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3362,medium
ctgan + editednn,smote + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3941,medium
ctgan + editednn,smote + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3288,small
ctgan + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4328,medium
ctgan + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4443,medium
ctgan + editednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3313,medium
ctgan + editednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.326,small
ctgan + editednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3429,medium
ctgan + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3701,medium
ctgan + editednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3453,medium
random + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3576,medium
copulagan + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3871,medium
ctgan + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3594,medium
gaussiancopula + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3259,small
ctgan + editednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3325,medium
fastml + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.314,small
ctgan + condensednn,smote + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3128,small
ctgan + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3731,medium
ctgan + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3735,medium
ctgan + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3095,small
ctgan + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3087,small
smote + editednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3117,small
ctgan + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3219,small
ctgan + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3352,medium
copulagan + condensednn,copulagan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3337,medium
ctgan + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3438,medium
ctgan + editednn,ctgan + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3106,small
random + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.319,small
ctgan + editednn,ctgan + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3374,medium
ctgan + editednn,ctgan + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.337,medium
ctgan + editednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3354,medium
ctgan + editednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3179,small
ctgan + editednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.337,medium
ctgan + editednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3485,medium
ctgan + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.366,medium
ctgan + editednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3582,medium
ctgan + editednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3062,small
ctgan + editednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3276,small
ctgan + instancehardness,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3305,medium
copulagan + condensednn,ctgan + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3471,medium
