group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
2 + 0,2 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2298,small
0.25 + 0,1 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.253,small
0.25 + 0,1 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2222,small
1 + 0,2 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2255,small
0.25 + 0,auto + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2233,small
0.5 + 0,auto + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2283,small
2 + auto,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2296,small
0.25 + 0,0.5 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2392,small
0.25 + 0,0.5 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2234,small
0.5 + 0,0.5 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2141,small
2 + 0,auto + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2263,small
1 + auto,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2231,small
0.25 + 0,0.25 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2279,small
0.25 + 0,2 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2419,small
0.5 + 0,2 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2331,small
0.25 + 0,auto + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2436,small
0.25 + 0,auto + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2528,small
0 + auto,0.25 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2436,small
0.25 + 0,2 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2327,small
1 + auto,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2261,small
0.25 + 0,1 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2363,small
0.25 + 0,2 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.257,small
1 + 0,1 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.222,small
auto + 0,auto + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2262,small
0.5 + 0,1 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.229,small
0.5 + auto,1 + 0,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2076,small
0.25 + 0,2 + 0.125,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2089,small
0.25 + 0,2 + 0.0625,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2155,small
0.5 + auto,2 + 0,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2114,small
0.5 + auto,auto + 0,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2097,small
0 + 0.5,0.25 + 0,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2253,small
0.25 + 0,0.5 + 0.25,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2115,small
2 + 0.5,auto + 0,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2162,small
2 + 0,2 + 0.5,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2152,small
0.5 + 0,auto + 0.5,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2197,small
auto + 0,auto + 0.5,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.218,small
1 + 0,auto + auto,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2213,small
0.5 + 0,1 + 0.5,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2103,small
0.5 + 0,2 + 0.5,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2198,small
0.25 + 0,auto + 0.125,0.0001,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2142,small
0.25 + 0,1 + 0.125,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2084,small
0.25 + 0,1 + 0.0625,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2035,small
0.25 + 0,0.25 + 0.5,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2195,small
1 + 0,2 + 0.5,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2107,small
0 + auto,0.5 + 0,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2065,small
1 + 0.5,auto + 0,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2026,small
2 + 0,auto + 0.5,0.0002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2163,small
1 + 0,auto + 0.5,0.0003,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2121,small
0.25 + 0,auto + 0.0625,0.0003,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2062,small
1 + 0.5,2 + 0,0.0003,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2056,small
0.5 + 0,2 + 0.25,0.0003,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2085,small
1 + 0,1 + 0.5,0.0004,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2018,small
0 + auto,auto + 0,0.0004,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1995,small
0 + auto,2 + 0,0.0004,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1975,small
0.5 + 0,0.5 + 0.5,0.0005,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.199,small
2 + 0.25,auto + 0,0.0005,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2036,small
0.25 + auto,0.5 + 0,0.0005,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2008,small
2 + 0,2 + 0.25,0.0006,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2025,small
