group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + editednn,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.378,medium
fastml + clustercentroid,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6783,large
fastml + clustercentroid,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6648,large
adasyn + random,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7008,large
fastml + clustercentroid,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6815,large
fastml + clustercentroid,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6731,large
fastml + clustercentroid,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7522,large
fastml + clustercentroid,tvae + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3706,medium
adasyn + random,ctgan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.9361,large
adasyn + random,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.884,large
fastml + condensednn,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3897,medium
fastml + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6875,large
fastml + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6864,large
fastml + condensednn,fastml + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3963,medium
fastml + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7203,large
fastml + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7113,large
adasyn + random,copulagan + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.9328,large
adasyn + random,copulagan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.9176,large
fastml + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6769,large
fastml + condensednn,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3959,medium
fastml + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6853,large
fastml + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6872,large
fastml + condensednn,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4131,medium
fastml + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7199,large
adasyn + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7103,large
adasyn + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7319,large
ctgan + onesidedselection,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7407,large
ctgan + onesidedselection,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7923,large
adasyn + tomeklinks,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7082,large
ctgan + editednn,random + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9248,large
ctgan + editednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9247,large
ctgan + editednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8356,large
ctgan + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.935,large
ctgan + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9252,large
ctgan + editednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9494,large
