group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0.25 + 0,0.5 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3943,medium
0 + auto,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3975,medium
0 + 0.25,0.25 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3775,medium
1 + 0.0625,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.398,medium
0.25 + 0,0.25 + 0.0625,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3015,small
0.25 + 0,0.25 + 0.125,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2997,small
0.25 + 0,0.25 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.327,small
0.25 + 0,0.25 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3219,small
0.25 + 0,0.25 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3864,medium
0.25 + 0,0.5 + 0.0625,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3363,medium
2 + 0,2 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4276,medium
0 + 0.125,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.317,small
0.25 + 0,0.5 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3447,medium
0.25 + 0,0.5 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3461,medium
0.25 + 0,1 + 0.0625,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3837,medium
0.25 + 0,1 + 0.125,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3781,medium
0 + 0.125,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3444,medium
0.25 + 0,1 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3902,medium
0.25 + 0,1 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.399,medium
0.25 + 0,1 + auto,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4516,medium
0.25 + 0,2 + 0.0625,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.336,medium
0.25 + 0,0.5 + 0.125,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3269,small
2 + 0,2 + 0.5,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3522,medium
2 + 0,2 + 0.25,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3542,medium
2 + 0,2 + 0.125,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3463,medium
1 + 0.5,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.403,medium
0 + 0.5,0.5 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3698,medium
0 + 0.25,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3613,medium
0 + 0.5,1 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3246,small
1 + 0.25,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.356,medium
1 + auto,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4541,medium
0 + 0.5,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3914,medium
1 + 0.25,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3974,medium
0 + 0.25,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3818,medium
0 + 0.5,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3544,medium
1 + 0.125,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3417,medium
0 + auto,0.25 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4242,medium
1 + auto,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4178,medium
0 + auto,0.5 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4105,medium
0 + 0.25,1 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3282,small
1 + 0.125,2 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3865,medium
0 + auto,1 + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3869,medium
1 + 0.0625,auto + 0,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3558,medium
