trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,ctgan,0.25,nearmiss,0.125,0.9891604499066595,COMPLETE,2025-03-29 06:16:37.128874,2025-03-29 06:17:51.701701,74.572827
2,tvae,0.5,instancehardness,0.5,0.9826641023852425,COMPLETE,2025-03-29 06:17:51.726026,2025-03-29 06:18:26.534113,34.808087
3,ctgan,1,tomeklinks,0.25,0.982663952192812,COMPLETE,2025-03-29 06:18:26.546268,2025-03-29 06:18:45.477373,18.931105
4,copulagan,0.25,instancehardness,0.0625,0.9870257379972729,COMPLETE,2025-03-29 06:18:45.489883,2025-03-29 06:19:45.118228,59.628345
5,adasyn,0.25,onesidedselection,0.125,-1.0,COMPLETE,2025-03-29 06:19:45.130442,2025-03-29 06:19:45.173610,0.043168
6,fastml,0,random,0.125,0.993502999650116,COMPLETE,2025-03-29 06:19:45.185717,2025-03-29 06:20:01.320604,16.134887
7,random,0.5,instancehardness,0,0.98916403461858,COMPLETE,2025-03-29 06:20:01.337195,2025-03-29 06:20:17.316872,15.979677
8,ctgan,1,condensednn,0,0.9782971627011856,COMPLETE,2025-03-29 06:20:17.330021,2025-03-29 06:20:34.739847,17.409826
9,gaussiancopula,auto,tomeklinks,0,0.9913421468043316,COMPLETE,2025-03-29 06:20:34.752453,2025-03-29 06:20:50.963384,16.210931
10,gaussiancopula,1,tomeklinks,0.25,0.9848535303080758,COMPLETE,2025-03-29 06:20:50.979063,2025-03-29 06:21:08.087354,17.108291
11,tvae,auto,nearmiss,0.125,0.9826747146507947,COMPLETE,2025-03-29 06:21:08.105961,2025-03-29 06:21:24.519583,16.413622
12,smote,2,condensednn,auto,0.613993656688675,COMPLETE,2025-03-29 06:21:24.533110,2025-03-29 06:21:36.013878,11.480768
13,adasyn,0.5,onesidedselection,0.0625,-1.0,COMPLETE,2025-03-29 06:21:36.027546,2025-03-29 06:21:36.068842,0.041296
14,fastml,2,onesidedselection,0.25,0.9848589721253914,COMPLETE,2025-03-29 06:21:36.079723,2025-03-29 06:21:51.573837,15.494114
15,adasyn,auto,instancehardness,auto,-1.0,COMPLETE,2025-03-29 06:21:51.585919,2025-03-29 06:21:51.626003,0.040084
16,ctgan,2,instancehardness,0.125,0.9892084292555944,COMPLETE,2025-03-29 06:21:51.637007,2025-03-29 06:22:10.091116,18.454109
17,random,2,random,0,0.98916403461858,COMPLETE,2025-03-29 06:22:10.104120,2025-03-29 06:22:26.040055,15.935935
18,smote,0,clustercentroid,0.0625,0.9891626891626891,COMPLETE,2025-03-29 06:22:26.052171,2025-03-29 06:22:47.824989,21.772818
19,ctgan,auto,random,auto,0.9891823765397848,COMPLETE,2025-03-29 06:22:47.840234,2025-03-29 06:23:04.740360,16.900126
20,fastml,auto,onesidedselection,0.25,0.9848589721253914,COMPLETE,2025-03-29 06:23:04.755546,2025-03-29 06:23:20.082699,15.327153
21,fastml,auto,nearmiss,0,0.9847832082520709,COMPLETE,2025-03-29 06:23:20.095990,2025-03-29 06:23:35.232947,15.136957
22,tvae,1,onesidedselection,auto,0.9805080849157983,COMPLETE,2025-03-29 06:23:35.254194,2025-03-29 06:23:50.899221,15.645027
23,tvae,auto,instancehardness,0.0625,0.9826641023852425,COMPLETE,2025-03-29 06:23:50.911459,2025-03-29 06:24:08.528322,17.616863
24,gaussiancopula,0.5,nearmiss,0.5,0.9806037080590027,COMPLETE,2025-03-29 06:24:08.540252,2025-03-29 06:24:26.493548,17.953296
